replies_count,retweets_count,likes_count,date,High,Low,average_stock
168,258,3631,2021-02-09,859.799988,841.75,850.774994
256,352,5282,2021-02-09,859.799988,841.75,850.774994
258,236,3919,2021-02-09,859.799988,841.75,850.774994
1760,1346,38472,2021-02-09,859.799988,841.75,850.774994
567,375,8427,2021-02-09,859.799988,841.75,850.774994
255,174,3324,2021-02-09,859.799988,841.75,850.774994
9514,13149,110196,2021-02-09,859.799988,841.75,850.774994
2625,4918,98844,2021-02-09,859.799988,841.75,850.774994
23910,26308,483860,2021-02-08,877.77002,854.75,866.26001
382,512,6370,2021-02-08,877.77002,854.75,866.26001
1136,2907,13794,2021-02-08,877.77002,854.75,866.26001
690,716,19638,2021-02-08,877.77002,854.75,866.26001
409,522,9113,2021-02-08,877.77002,854.75,866.26001
676,836,17985,2021-02-08,877.77002,854.75,866.26001
16386,52587,261175,2021-02-08,877.77002,854.75,866.26001
10586,34391,225879,2021-02-08,877.77002,854.75,866.26001
193,500,4920,2021-02-08,877.77002,854.75,866.26001
357,332,5002,2021-02-08,877.77002,854.75,866.26001
27495,115707,791454,2021-02-08,877.77002,854.75,866.26001
9965,24663,275401,2021-02-08,877.77002,854.75,866.26001
804,622,40536,2021-02-05,864.77002,838.969971,851.8699955
3899,3862,100777,2021-02-05,864.77002,838.969971,851.8699955
164,112,2779,2021-02-05,864.77002,838.969971,851.8699955
375,378,7291,2021-02-05,864.77002,838.969971,851.8699955
218,123,3260,2021-02-05,864.77002,838.969971,851.8699955
164,116,3869,2021-02-05,864.77002,838.969971,851.8699955
181,176,5208,2021-02-05,864.77002,838.969971,851.8699955
539,358,20016,2021-02-05,864.77002,838.969971,851.8699955
125,108,3550,2021-02-04,856.5,833.419983,844.9599915
309,183,6125,2021-02-04,856.5,833.419983,844.9599915
184,140,5251,2021-02-04,856.5,833.419983,844.9599915
221,113,4553,2021-02-04,856.5,833.419983,844.9599915
701,555,10665,2021-02-04,856.5,833.419983,844.9599915
28101,56425,621748,2021-02-04,856.5,833.419983,844.9599915
450,566,11920,2021-02-04,856.5,833.419983,844.9599915
11650,24333,331327,2021-02-04,856.5,833.419983,844.9599915
943,1310,29084,2021-02-04,856.5,833.419983,844.9599915
9842,17433,236668,2021-02-04,856.5,833.419983,844.9599915
7044,14554,216121,2021-02-04,856.5,833.419983,844.9599915
22644,114920,777805,2021-02-04,856.5,833.419983,844.9599915
2724,16079,181369,2021-02-04,856.5,833.419983,844.9599915
19461,104278,555730,2021-02-04,856.5,833.419983,844.9599915
23947,150264,1003772,2021-02-04,856.5,833.419983,844.9599915
762,3764,22054,2021-02-04,856.5,833.419983,844.9599915
9416,46468,262590,2021-02-04,856.5,833.419983,844.9599915
7329,40010,434219,2021-02-04,856.5,833.419983,844.9599915
